SAMPLE_ID,READ1_PATH_FASTQC_REPORT,FASTQC_VERSION,READ1_N_READS_SEQUENCED,READ1_SEQUENCING_READ_LENGTH,READ1_GC,READ1_PER_BASE_SEQUENCE_QUALITY,READ1_PER_TILE_SEQUENCE_QUALITY,READ1_PER_BASE_SEQUENCE_CONTENT,READ1_PER_SEQUENCE_GC_CONTENT,READ1_PER_BASE_N_CONTENT,READ1_SEQUENCE_DUPLICATION_LEVELS,READ1_DEDUPLICATED_PERCENTAGE,READ1_OVERREPRESENTED_SEQUENCES,READ1_ADAPTER_CONTENT,READ1_KMER_CONTENT,READ2_PATH_FASTQC_REPORT,READ2_N_READS_SEQUENCED,READ2_SEQUENCING_READ_LENGTH,READ2_GC,READ2_PER_BASE_SEQUENCE_QUALITY,READ2_PER_TILE_SEQUENCE_QUALITY,READ2_PER_BASE_SEQUENCE_CONTENT,READ2_PER_SEQUENCE_GC_CONTENT,READ2_PER_BASE_N_CONTENT,READ2_SEQUENCE_DUPLICATION_LEVELS,READ2_DEDUPLICATED_PERCENTAGE,READ2_OVERREPRESENTED_SEQUENCES,READ2_ADAPTER_CONTENT,READ2_KMER_CONTENT,READ1_READ_LENGTH,READ2_READ_LENGTH
MB_1_4,/users/project/4DGenome/sequencing/*/fastqc/MB_1_4*read1_fastqc/fastqc_data.txt,0.11.2,179891501,,41,pass,pass,fail,pass,pass,pass,79.81203870817318,pass,pass,fail,/users/project/4DGenome/sequencing/*/fastqc/MB_1_4*read2_fastqc/fastqc_data.txt,179891501,,41,pass,pass,fail,pass,pass,pass,79.47538075856929,pass,pass,fail,75,75
MB_1_9,/users/project/4DGenome/sequencing/2015-04-28/fastqc/MB_1_9_10090_ATGTCA_read1_fastqc/fastqc_data.txt,0.11.2,157193113,,43,pass,pass,fail,pass,pass,warn,50.25415337471378,pass,pass,fail,/users/project/4DGenome/sequencing/2015-04-28/fastqc/MB_1_9_10090_ATGTCA_read2_fastqc/fastqc_data.txt,157193113,,43,pass,pass,fail,pass,pass,warn,52.248500231565174,pass,pass,fail,75,75
MB_1_1,/users/project/4DGenome/sequencing/*/fastqc/MB_1_1*read1_fastqc/fastqc_data.txt,0.11.2,163023587,,42,pass,pass,fail,pass,pass,warn,60.67660190681692,pass,pass,fail,/users/project/4DGenome/sequencing/*/fastqc/MB_1_1*read2_fastqc/fastqc_data.txt,163023587,,42,pass,pass,fail,pass,pass,warn,61.4572632552656,pass,pass,fail,75,75
e4aa8d54f_51720e9cf,/users/project/4DGenome/sequencing/2015-04-28/fastqc/e4aa8d54f_51720e9cf_read1_fastqc/fastqc_data.txt,0.11.2,93032404,,42,pass,pass,fail,pass,pass,pass,86.97560400717761,pass,pass,fail,/users/project/4DGenome/sequencing/2015-04-28/fastqc/e4aa8d54f_51720e9cf_read2_fastqc/fastqc_data.txt,93032404,,42,pass,pass,fail,pass,pass,pass,87.72179937639837,pass,pass,fail,75,75
9a7c4a68d_51720e9cf,/users/project/4DGenome/sequencing/2015-04-28/fastqc/9a7c4a68d_51720e9cf_read1_fastqc/fastqc_data.txt,0.11.2,106384902,,42,pass,pass,fail,pass,pass,pass,86.65340554479835,pass,pass,fail,/users/project/4DGenome/sequencing/2015-04-28/fastqc/9a7c4a68d_51720e9cf_read2_fastqc/fastqc_data.txt,106384902,,43,pass,pass,fail,pass,pass,pass,87.72744554012927,pass,pass,fail,75,75
dc3a1e069_ec92aa0bb,/users/project/4DGenome/sequencing/2015-04-28/fastqc/dc3a1e069_ec92aa0bb_read1_fastqc/fastqc_data.txt,0.11.2,95911607,,42,pass,pass,fail,pass,pass,pass,90.80343034637846,pass,pass,fail,/users/project/4DGenome/sequencing/2015-04-28/fastqc/dc3a1e069_ec92aa0bb_read2_fastqc/fastqc_data.txt,95911607,,42,pass,pass,fail,pass,pass,pass,91.88401972847636,pass,pass,fail,75,75
dc3a1e069_51720e9cf,/users/project/4DGenome/sequencing/2015-04-28/fastqc/dc3a1e069_51720e9cf_read1_fastqc/fastqc_data.txt,0.11.2,125171873,,42,pass,pass,fail,pass,pass,pass,87.95241838405713,pass,pass,fail,/users/project/4DGenome/sequencing/2015-04-28/fastqc/dc3a1e069_51720e9cf_read2_fastqc/fastqc_data.txt,125171873,,42,pass,pass,fail,pass,pass,pass,89.01549275656988,pass,pass,fail,75,75
5733f3071_2a3b69a85,/users/project/4DGenome/sequencing/2015-04-28/fastqc/5733f3071_2a3b69a85_read1_fastqc/fastqc_data.txt,0.11.2,127582190,,42,pass,pass,fail,pass,pass,pass,87.35220855204372,pass,pass,fail,/users/project/4DGenome/sequencing/2015-04-28/fastqc/5733f3071_2a3b69a85_read2_fastqc/fastqc_data.txt,127582190,,42,pass,pass,fail,pass,pass,pass,87.73694317365425,pass,pass,fail,75,75
b1913e6c1_51720e9cf,/users/project/4DGenome/sequencing/2015-04-28/fastqc/b1913e6c1_51720e9cf_read1_fastqc/fastqc_data.txt,0.11.2,144372692,,42,pass,pass,fail,pass,pass,pass,86.07245082624068,pass,pass,fail,/users/project/4DGenome/sequencing/2015-04-28/fastqc/b1913e6c1_51720e9cf_read2_fastqc/fastqc_data.txt,144372692,,42,pass,pass,fail,pass,pass,pass,86.16437566158541,pass,pass,fail,75,75
1618f57a8_51720e9cf,/users/project/4DGenome/sequencing/2015-04-28/fastqc/1618f57a8_51720e9cf_read1_fastqc/fastqc_data.txt,0.11.2,151431425,,42,pass,pass,fail,pass,pass,pass,78.97599226903984,pass,pass,fail,/users/project/4DGenome/sequencing/2015-04-28/fastqc/1618f57a8_51720e9cf_read2_fastqc/fastqc_data.txt,151431425,,42,pass,pass,fail,pass,pass,pass,79.28242438616228,pass,pass,fail,75,75
d4e07ef90_51720e9cf,/users/project/4DGenome/sequencing/2015-04-28/fastqc/d4e07ef90_51720e9cf_read1_fastqc/fastqc_data.txt,0.11.2,157193113,,43,pass,pass,fail,pass,pass,warn,50.25415337471378,pass,pass,fail,/users/project/4DGenome/sequencing/2015-04-28/fastqc/d4e07ef90_51720e9cf_read2_fastqc/fastqc_data.txt,157193113,,43,pass,pass,fail,pass,pass,warn,52.248500231565174,pass,pass,fail,75,75
ab7537068_51720e9cf,/users/project/4DGenome/sequencing/2015-04-28/fastqc/ab7537068_51720e9cf_read1_fastqc/fastqc_data.txt,0.11.2,151606472,,41,pass,pass,fail,pass,pass,warn,69.7028606435852,pass,pass,fail,/users/project/4DGenome/sequencing/2015-04-28/fastqc/ab7537068_51720e9cf_read2_fastqc/fastqc_data.txt,151606472,,41,pass,pass,fail,pass,pass,pass,70.23992435650074,pass,pass,fail,75,75
7824bad60_51720e9cf,/users/project/4DGenome/sequencing/2015-04-28/fastqc/7824bad60_51720e9cf_read1_fastqc/fastqc_data.txt,0.11.2,163023587,,42,pass,pass,fail,pass,pass,warn,60.67660190681692,pass,pass,fail,/users/project/4DGenome/sequencing/2015-04-28/fastqc/7824bad60_51720e9cf_read2_fastqc/fastqc_data.txt,163023587,,42,pass,pass,fail,pass,pass,warn,61.4572632552656,pass,pass,fail,75,75
a1e46328c_51720e9cf,/users/project/4DGenome/sequencing/2015-04-28/fastqc/a1e46328c_51720e9cf_read1_fastqc/fastqc_data.txt,0.11.2,179891501,,41,pass,pass,fail,pass,pass,pass,79.81203870817318,pass,pass,fail,/users/project/4DGenome/sequencing/2015-04-28/fastqc/a1e46328c_51720e9cf_read2_fastqc/fastqc_data.txt,179891501,,41,pass,pass,fail,pass,pass,pass,79.47538075856929,pass,pass,fail,75,75
eaed0e91e_2a3b69a85,/users/project/4DGenome/sequencing/2015-04-28/fastqc/eaed0e91e_2a3b69a85_read1_fastqc/fastqc_data.txt,0.11.2,186467276,,42,pass,pass,fail,pass,pass,pass,75.50462189502744,pass,pass,fail,/users/project/4DGenome/sequencing/2015-04-28/fastqc/eaed0e91e_2a3b69a85_read2_fastqc/fastqc_data.txt,186467276,,42,pass,pass,fail,pass,pass,pass,74.99145687971443,pass,pass,fail,75,75
66950b082_df6973bc7,/users/project/4DGenome/sequencing/2015-05-15/fastqc/66950b082_df6973bc7_read1_fastqc/fastqc_data.txt,0.11.2,49335497,,44,pass,warn,fail,pass,pass,pass,70.73348594919786,warn,pass,fail,/users/project/4DGenome/sequencing/2015-05-15/fastqc/66950b082_df6973bc7_read2_fastqc/fastqc_data.txt,49335497,,44,pass,warn,fail,pass,pass,pass,70.03238001978059,pass,pass,fail,75,75
f8a4ad91d_df6973bc7,/users/project/4DGenome/sequencing/2015-05-15/fastqc/f8a4ad91d_df6973bc7_read1_fastqc/fastqc_data.txt,0.11.2,55997538,,44,pass,warn,fail,pass,pass,pass,73.39722830218145,warn,pass,fail,/users/project/4DGenome/sequencing/2015-05-15/fastqc/f8a4ad91d_df6973bc7_read2_fastqc/fastqc_data.txt,55997538,,45,pass,warn,fail,pass,pass,pass,72.05157598546667,pass,pass,fail,75,75
ad1a9f5b0_df6973bc7,/users/project/4DGenome/sequencing/2015-05-15/fastqc/ad1a9f5b0_df6973bc7_read1_fastqc/fastqc_data.txt,0.11.2,60274250,,43,pass,warn,fail,pass,pass,pass,75.81997494976433,pass,pass,fail,/users/project/4DGenome/sequencing/2015-05-15/fastqc/ad1a9f5b0_df6973bc7_read2_fastqc/fastqc_data.txt,60274250,,43,pass,warn,fail,pass,pass,pass,74.25215619514461,pass,pass,fail,75,75
66950b082_20edef23a,/users/project/4DGenome/sequencing/2015-05-15/fastqc/66950b082_20edef23a_read1_fastqc/fastqc_data.txt,0.11.2,61818417,,40,pass,warn,warn,pass,pass,pass,75.08289468047144,warn,pass,fail,/users/project/4DGenome/sequencing/2015-05-15/fastqc/66950b082_20edef23a_read2_fastqc/fastqc_data.txt,61818417,,40,pass,warn,warn,pass,pass,pass,73.98474108453009,pass,pass,fail,75,75
66950b082_c478f1d09,/users/project/4DGenome/sequencing/2015-05-15/fastqc/66950b082_c478f1d09_read1_fastqc/fastqc_data.txt,0.11.2,202199422,,43,pass,fail,fail,pass,pass,pass,77.85541189475832,pass,pass,fail,/users/project/4DGenome/sequencing/2015-05-15/fastqc/66950b082_c478f1d09_read2_fastqc/fastqc_data.txt,202199422,,43,pass,pass,fail,pass,pass,warn,58.317785234954925,pass,pass,fail,75,75
f8a4ad91d_c478f1d09,/users/project/4DGenome/sequencing/2015-05-15/fastqc/f8a4ad91d_c478f1d09_read1_fastqc/fastqc_data.txt,0.11.2,212088410,,43,pass,pass,fail,pass,pass,pass,78.87792453298856,pass,pass,fail,/users/project/4DGenome/sequencing/2015-05-15/fastqc/f8a4ad91d_c478f1d09_read2_fastqc/fastqc_data.txt,212088410,,43,pass,warn,fail,pass,pass,warn,64.76322310196392,pass,pass,fail,75,75
ad1a9f5b0_c478f1d09,/users/project/4DGenome/sequencing/2015-05-15/fastqc/ad1a9f5b0_c478f1d09_read1_fastqc/fastqc_data.txt,0.11.2,236104304,,42,pass,fail,fail,pass,pass,pass,86.21880407566155,pass,pass,fail,/users/project/4DGenome/sequencing/2015-05-15/fastqc/ad1a9f5b0_c478f1d09_read2_fastqc/fastqc_data.txt,236104304,,42,pass,pass,fail,pass,pass,pass,70.9881021694506,pass,pass,fail,75,75
b7fa2d8db_d5f36599c,/users/project/4DGenome/sequencing/2015-09-17/fastqc/b7fa2d8db_d5f36599c_read1_fastqc/fastqc_data.txt,0.11.2,67532116,,42,fail,pass,fail,pass,fail,pass,95.40927615868033,pass,pass,fail,/users/project/4DGenome/sequencing/2015-09-17/fastqc/b7fa2d8db_d5f36599c_read2_fastqc/fastqc_data.txt,67532116,,41,fail,pass,fail,pass,fail,pass,95.52762334643633,pass,pass,fail,76,76
b7fa2d8db_f93db662e,/users/project/4DGenome/sequencing/2015-09-17/fastqc/b7fa2d8db_f93db662e_read1_fastqc/fastqc_data.txt,0.11.2,66208554,,42,fail,pass,fail,pass,fail,pass,95.65333847454625,pass,pass,fail,/users/project/4DGenome/sequencing/2015-09-17/fastqc/b7fa2d8db_f93db662e_read2_fastqc/fastqc_data.txt,66208554,,42,fail,pass,fail,pass,fail,pass,95.35959434651038,pass,pass,fail,76,76
fc3e8b36a_da061e9a0,/users/project/4DGenome/sequencing/2015-09-17/fastqc/fc3e8b36a_da061e9a0_read1_fastqc/fastqc_data.txt,0.11.2,67700537,,42,fail,pass,fail,pass,fail,pass,95.80524461999595,pass,pass,fail,/users/project/4DGenome/sequencing/2015-09-17/fastqc/fc3e8b36a_da061e9a0_read2_fastqc/fastqc_data.txt,67700537,,42,fail,pass,fail,pass,fail,pass,95.39565773216822,pass,pass,fail,76,76
e6588f786_3e1166f1f,/users/project/4DGenome/sequencing/2015-09-17/fastqc/e6588f786_3e1166f1f_read1_fastqc/fastqc_data.txt,0.11.2,70887382,,42,fail,pass,fail,pass,fail,pass,94.7427820421943,warn,pass,fail,/users/project/4DGenome/sequencing/2015-09-17/fastqc/e6588f786_3e1166f1f_read2_fastqc/fastqc_data.txt,70887382,,42,fail,pass,fail,pass,fail,pass,94.94068588460269,pass,pass,fail,76,76
e6588f786_56e7062b9,/users/project/4DGenome/sequencing/2015-09-17/fastqc/e6588f786_56e7062b9_read1_fastqc/fastqc_data.txt,0.11.2,71913250,,43,fail,pass,fail,pass,fail,pass,89.37092998175224,warn,pass,fail,/users/project/4DGenome/sequencing/2015-09-17/fastqc/e6588f786_56e7062b9_read2_fastqc/fastqc_data.txt,71913250,,42,fail,pass,fail,pass,fail,pass,93.68508929599678,pass,pass,fail,76,76
fc3e8b36a_95f36c69d,/users/project/4DGenome/sequencing/2015-09-17/fastqc/fc3e8b36a_95f36c69d_read1_fastqc/fastqc_data.txt,0.11.2,78146758,,42,fail,pass,fail,pass,fail,pass,95.97353684025254,pass,pass,fail,/users/project/4DGenome/sequencing/2015-09-17/fastqc/fc3e8b36a_95f36c69d_read2_fastqc/fastqc_data.txt,78146758,,42,fail,pass,fail,pass,fail,pass,95.45757180096659,pass,pass,fail,76,76
dc3a1e069_95a8cd511,/users/project/4DGenome/sequencing/2015-09-15/fastqc/dc3a1e069_95a8cd511_read1_fastqc/fastqc_data.txt,0.11.2,205818586,,41,pass,pass,warn,warn,pass,pass,81.81974360475844,pass,pass,fail,/users/project/4DGenome/sequencing/2015-09-15/fastqc/dc3a1e069_95a8cd511_read2_fastqc/fastqc_data.txt,205818586,,41,pass,pass,warn,pass,pass,pass,82.35360973610543,pass,pass,fail,75,75
a7a9044d5_95a8cd511,/users/project/4DGenome/sequencing/2015-09-15/fastqc/a7a9044d5_95a8cd511_read1_fastqc/fastqc_data.txt,0.11.2,207470252,,41,pass,pass,warn,pass,pass,pass,82.13418937401028,pass,pass,fail,/users/project/4DGenome/sequencing/2015-09-15/fastqc/a7a9044d5_95a8cd511_read2_fastqc/fastqc_data.txt,207470252,,41,pass,pass,warn,pass,pass,pass,82.51803300122242,pass,pass,fail,75,75
b1913e6c1_95a8cd511,/users/project/4DGenome/sequencing/2015-09-15/fastqc/b1913e6c1_95a8cd511_read1_fastqc/fastqc_data.txt,0.11.2,225427939,,41,pass,pass,warn,pass,pass,pass,79.80271166830263,pass,pass,fail,/users/project/4DGenome/sequencing/2015-09-15/fastqc/b1913e6c1_95a8cd511_read2_fastqc/fastqc_data.txt,225427939,,41,pass,pass,warn,pass,pass,pass,79.56812442285475,pass,pass,fail,75,75
cb6b65581_f34e98deb,/users/project/4DGenome/sequencing/2015-09-15/fastqc/cb6b65581_f34e98deb_read1_fastqc/fastqc_data.txt,0.11.2,214986830,,41,pass,pass,fail,pass,pass,warn,69.94943124423364,pass,pass,fail,/users/project/4DGenome/sequencing/2015-09-15/fastqc/cb6b65581_f34e98deb_read2_fastqc/fastqc_data.txt,214986830,,41,pass,pass,fail,pass,pass,warn,69.41796869531761,pass,pass,fail,75,75
0f24b004c_95a8cd511,/users/project/4DGenome/sequencing/2015-09-15/fastqc/0f24b004c_95a8cd511_read1_fastqc/fastqc_data.txt,0.11.2,217409743,,41,pass,pass,warn,pass,pass,pass,85.94724885228435,pass,pass,fail,/users/project/4DGenome/sequencing/2015-09-15/fastqc/0f24b004c_95a8cd511_read2_fastqc/fastqc_data.txt,217409743,,41,pass,pass,warn,pass,pass,pass,85.8693748714758,pass,pass,fail,75,75
c95c3766e_f34e98deb,/users/project/4DGenome/sequencing/2015-09-15/fastqc/c95c3766e_f34e98deb_read1_fastqc/fastqc_data.txt,0.11.2,214987954,,41,pass,pass,fail,warn,pass,pass,73.12978154712452,pass,pass,fail,/users/project/4DGenome/sequencing/2015-09-15/fastqc/c95c3766e_f34e98deb_read2_fastqc/fastqc_data.txt,214987954,,41,pass,pass,fail,warn,pass,pass,73.0503467981666,pass,pass,fail,75,75
d7fd92b4c_95a8cd511,/users/project/4DGenome/sequencing/2015-09-15/fastqc/d7fd92b4c_95a8cd511_read1_fastqc/fastqc_data.txt,0.11.2,228470228,,41,pass,pass,warn,pass,pass,pass,77.46635218925636,pass,pass,fail,/users/project/4DGenome/sequencing/2015-09-15/fastqc/d7fd92b4c_95a8cd511_read2_fastqc/fastqc_data.txt,228470228,,41,pass,pass,warn,warn,pass,pass,77.14051476047396,pass,pass,fail,75,75
4a13fb79e_f34e98deb,/users/project/4DGenome/sequencing/2015-09-15/fastqc/4a13fb79e_f34e98deb_read1_fastqc/fastqc_data.txt,0.11.2,247754282,,41,pass,pass,fail,warn,pass,warn,61.38278347370214,pass,pass,fail,/users/project/4DGenome/sequencing/2015-09-15/fastqc/4a13fb79e_f34e98deb_read2_fastqc/fastqc_data.txt,247754282,,40,pass,pass,fail,warn,pass,warn,61.55678905120959,pass,pass,fail,75,75
ab7537068_95a8cd511,/users/project/4DGenome/sequencing/2015-09-15/fastqc/ab7537068_95a8cd511_read1_fastqc/fastqc_data.txt,0.11.2,244889002,,41,pass,pass,warn,pass,pass,pass,76.73392283872153,pass,pass,fail,/users/project/4DGenome/sequencing/2015-09-15/fastqc/ab7537068_95a8cd511_read2_fastqc/fastqc_data.txt,244889002,,41,pass,pass,warn,pass,pass,pass,76.94256273008767,pass,pass,fail,75,75
1317ef052_f34e98deb,/users/project/4DGenome/sequencing/2015-09-15/fastqc/1317ef052_f34e98deb_read1_fastqc/fastqc_data.txt,0.11.2,253817520,,41,pass,pass,fail,warn,pass,warn,65.71020951146208,pass,pass,fail,/users/project/4DGenome/sequencing/2015-09-15/fastqc/1317ef052_f34e98deb_read2_fastqc/fastqc_data.txt,253817520,,41,pass,pass,fail,warn,pass,warn,64.85174877497948,pass,pass,fail,75,75
f63c93d81_7bf1478ce,/users/project/4DGenome/sequencing/2015-09-18/fastqc/f63c93d81_7bf1478ce_read1_fastqc/fastqc_data.txt,0.11.2,147574979,,42,pass,pass,warn,pass,pass,pass,90.3450387335974,pass,pass,fail,/users/project/4DGenome/sequencing/2015-09-18/fastqc/f63c93d81_7bf1478ce_read2_fastqc/fastqc_data.txt,147574979,,42,pass,pass,warn,pass,pass,pass,90.67499362698837,pass,pass,fail,75,75
a1e46328c_7bf1478ce,/users/project/4DGenome/sequencing/2015-09-18/fastqc/a1e46328c_7bf1478ce_read1_fastqc/fastqc_data.txt,0.11.2,161055837,,42,pass,pass,warn,pass,pass,pass,88.83231231977857,pass,pass,fail,/users/project/4DGenome/sequencing/2015-09-18/fastqc/a1e46328c_7bf1478ce_read2_fastqc/fastqc_data.txt,161055837,,42,pass,pass,warn,pass,pass,pass,89.16535894383728,pass,pass,fail,75,75
d4e07ef90_7bf1478ce,/users/project/4DGenome/sequencing/2015-09-18/fastqc/d4e07ef90_7bf1478ce_read1_fastqc/fastqc_data.txt,0.11.2,167859957,,42,pass,pass,warn,pass,pass,pass,88.22626578698339,pass,pass,fail,/users/project/4DGenome/sequencing/2015-09-18/fastqc/d4e07ef90_7bf1478ce_read2_fastqc/fastqc_data.txt,167859957,,42,pass,pass,warn,pass,pass,pass,88.4056744796507,pass,pass,fail,75,75
9a7c4a68d_7bf1478ce,/users/project/4DGenome/sequencing/2015-09-18/fastqc/9a7c4a68d_7bf1478ce_read1_fastqc/fastqc_data.txt,0.11.2,180162152,,42,pass,pass,warn,pass,pass,pass,90.06418840435029,pass,pass,fail,/users/project/4DGenome/sequencing/2015-09-18/fastqc/9a7c4a68d_7bf1478ce_read2_fastqc/fastqc_data.txt,180162152,,42,pass,pass,warn,pass,pass,pass,91.02534327926445,pass,pass,fail,75,75
4ca65de60_707096ecf,/users/project/4DGenome/sequencing/2015-09-18/fastqc/4ca65de60_707096ecf_read1_fastqc/fastqc_data.txt,0.11.2,176298384,,42,pass,pass,warn,pass,pass,pass,85.28903649025807,pass,pass,fail,/users/project/4DGenome/sequencing/2015-09-18/fastqc/4ca65de60_707096ecf_read2_fastqc/fastqc_data.txt,176298384,,42,pass,pass,warn,pass,pass,pass,86.29238645420428,pass,pass,fail,75,75
dc3a1e069_7bf1478ce,/users/project/4DGenome/sequencing/2015-09-18/fastqc/dc3a1e069_7bf1478ce_read1_fastqc/fastqc_data.txt,0.11.2,190975577,,42,pass,pass,warn,pass,pass,pass,90.24725183666008,pass,pass,fail,/users/project/4DGenome/sequencing/2015-09-18/fastqc/dc3a1e069_7bf1478ce_read2_fastqc/fastqc_data.txt,190975577,,42,pass,pass,warn,pass,pass,pass,90.37371948028073,pass,pass,fail,75,75
eaed0e91e_7bf1478ce,/users/project/4DGenome/sequencing/2015-09-18/fastqc/eaed0e91e_7bf1478ce_read1_fastqc/fastqc_data.txt,0.11.2,191963863,,41,pass,pass,warn,pass,pass,pass,90.42752384651838,pass,pass,fail,/users/project/4DGenome/sequencing/2015-09-18/fastqc/eaed0e91e_7bf1478ce_read2_fastqc/fastqc_data.txt,191963863,,41,pass,pass,warn,pass,pass,pass,90.26379574172466,pass,pass,fail,75,75
e4aa8d54f_7bf1478ce,/users/project/4DGenome/sequencing/2015-09-18/fastqc/e4aa8d54f_7bf1478ce_read1_fastqc/fastqc_data.txt,0.11.2,193764580,,42,pass,pass,warn,pass,pass,pass,90.38905869001732,pass,pass,fail,/users/project/4DGenome/sequencing/2015-09-18/fastqc/e4aa8d54f_7bf1478ce_read2_fastqc/fastqc_data.txt,193764580,,42,pass,pass,warn,pass,pass,pass,90.82848612038438,pass,pass,fail,75,75
